WinRate,ImbVolume,ImbRatio,AdvDetection,PATIMachineLearningInputsV2-P1-BollingerDiff,PATIMachineLearningInputsV2-P1-MovingAvgDiff,PATIMachineLearningInputsV2-P1-VolumeSpeedPerSecond,PATIMachineLearningInputsV2-P1-StdDevBB,PATIMachineLearningInputsV2-P1-TimeOfDay,ReverseStrength-P2-ReverseStrengthLine,ReverseStrength-P3-ReverseStrengthLine
0.65,68,1.94,72,7.07,5.4,3,4.03,41557,5583.09,5593.03
0.65,38,1.95,40,7.57,4.74,52.01,2.6,162637.01,5514.39,5520.34
0.65,84,1.95,88,3.13,2.68,97.02,1.77,135245.02,5533.65,5537.5
0.65,26,1.96,27,10.04,5.04,49.4,3.03,131814.4,5400.02,5409.3
0.65,33,1.97,34,2.4,0.47,59.05,2.27,144526.05,5504.7,5508.9
0.65,60,1.97,62,12.9,7.7,6.05,1.68,81741.05,5466.18,5476.99
0.65,107,1.97,110,3.4,2.03,42.04,1.02,181519.04,5668.01,5671.7
0.65,42,1.98,43,6.5,0.6,12.03,2.8,121805.03,5415.01,5424.4
0.65,44,1.98,45,6,7.9,4.2,6.02,60033.2,5518.8,5527.07
0.65,81,1.99,82,8,0.6,38.04,2,171152.04,5601.3,5607.6
0.65,41,2,41,14.6,4.9,13.06,3.8,100834.06,5413.07,5426.19
0.65,42,2,42,12.18,2.29,11.02,2,93004.02,5578.37,5590.76
0.65,67,2,67,6.6,2.02,5.04,3.6,113443.04,5641,5649.8
0.65,94,2,94,4.35,2.67,70.01,0.73,132934.01,5544.47,5550.13
0.65,43,2.02,42,16.9,8,11.04,3.7,74846.04,5575.56,5588.9
0.65,45,2.02,44,4.1,2.07,1.6,1.04,230114.6,5626.05,5630.6
0.65,46,2.02,45,12.2,4.06,5.9,3.7,55223.9,5434.07,5445.1
0.65,30,2.03,29,9.06,7.6,3.06,2.68,62148.06,5458.9,5467.03
0.65,39,2.03,38,15.73,4.3,50.01,2.74,131618.01,5397.32,5407.8
0.65,71,2.03,69,2.37,1.24,20.01,0.93,155602.01,5685.02,5688.43
0.65,29,2.04,28,6.55,2.17,20.01,1.18,183502.01,5608.8,5613.78
0.65,49,2.04,47,15.03,2.7,8.1,3.5,110311.1,5413.01,5425
0.65,54,2.04,52,7.4,5.08,154.05,3.01,143523.05,5474.47,5481.6
0.65,118,2.04,114,8.59,0.8,38.03,2.57,182639.03,5680.01,5684.8
0.65,42,2.05,40,5,9.03,2.09,6.7,50160.09,5520.02,5527.04
0.65,42,2.05,40,6.05,3.5,74.07,1.9,185753.07,5580.05,5586.06
0.65,34,2.06,32,2.98,3.54,3.02,1.65,220950.02,5478.9,5484.02
0.65,34,2.06,32,5.6,1.96,58.02,2.74,182251.02,5455.9,5462.49
0.65,37,2.06,35,5.95,0.4,70.03,1.03,163818.03,5367.37,5374.74
0.65,38,2.06,36,5.7,2.04,77.03,1.7,182459.03,5606.68,5612.78
0.65,29,2.07,27,10.6,2.2,2.8,4.02,51132.8,5557.2,5568.4
0.65,30,2.07,28,3.55,1.36,59.01,1.85,173041.01,5608.3,5612.83
0.65,95,2.07,89,3.01,0.8,110.02,0.69,133148.02,5547.05,5551.29
0.65,40,2.08,37,4.6,2.76,19.03,1.48,131406.03,5652.36,5657.05
0.65,40,2.08,37,8.6,1.6,2.03,2.6,224432.03,5607.3,5612.3
0.65,25,2.09,23,6,8.5,4.08,6.5,62347.08,5520.01,5528.4
0.65,35,2.09,32,18.05,3.1,3.8,5.06,34540.8,5558.09,5569.08
0.65,71,2.09,65,6.02,2.88,2.06,2.6,12044.06,5613,5617.77
0.65,33,2.1,30,6.46,0.76,282.01,1,143658.01,5593.17,5598.3
0.65,33,2.1,30,5.02,6.4,9.03,1.65,124951.03,5585.15,5590.8
0.65,34,2.1,31,13.5,2.15,10.03,3.9,82725.03,5418.04,5432.19
0.65,44,2.1,40,8.7,5.8,4,6.7,40533,5432.09,5443.06
0.65,28,2.12,25,9.9,2.5,13.1,3.01,72107.1,5561.1,5572.5
0.65,29,2.12,26,19.39,3.2,24.08,7.6,71103.08,5586.4,5603.69
0.65,35,2.13,31,12.01,2.01,8.04,4.7,205325.04,5453.9,5468.2
